DRIVER    VOLUME NAME
local     32b4cc64379e54dd629d4bf6760d66d22ee17506726a59d18aee2b4eaa57c381
local     555e628a98725b8ce21557e8f52b6c325bb9d969b6c871c0b4478025bd9cd865
local     9268c31ba3dd497db7841d4cb91d535b778d689efd656c769c9455bca887339f
local     24876fc900b954f0f4dc1b8d1452880d497554c8e832a21ef2ba9f1e3697bd58
local     compose_grafanadata
local     compose_kumadata
local     compose_lokidata
local     compose_miniodata
local     compose_pgdata
local     compose_prometheusdata
local     compose_valkeydata
